"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LAMA2",0,0.37667552818526,0.065,0.868,0
"CCBE1",0,0.454595356545023,0.079,0.919,0
"ADGRB3",0,0.34415752714477,0.061,0.948,0
"ADAMTSL1",0,0.254327298067669,0.053,0.844,0
"SEMA6D",0,0.283004773337037,0.035,0.82,0
"PRKG1",0,0.563169542795546,0.133,0.959,0
"CNTN4",0,0.360580002597054,0.058,0.86,0
"MECOM",0,0.326727559842116,0.06,0.798,0
"TOX",0,0.505584606798485,0.083,0.993,0
"DACH1",0,0.419095280424961,0.058,0.827,0
"ANK3",0,0.611148344395867,0.101,0.93,0
"PLA2G5",0,0.271720972927252,0.033,0.895,0
"ADAMTS9",0,-0.337657834995164,0.01,0.148,0
"LINC02388",0,0.406081888011595,0.059,0.988,0
"NEBL",0,-0.254903293852789,0.024,0.209,0
"ZFPM2",0,0.529999249617768,0.106,0.961,0
"PBX1",0,0.642183331702336,0.133,0.935,0
"HKDC1",0,-0.417161839702534,0.003,0.191,0
"PDK4",0,0.596052042249924,0.121,0.987,0
"ESRRG",0,0.720428975391289,0.146,1,0
"TRPM3",0,0.309247784209507,0.059,0.87,0
"NREP-AS1",0,-0.277949456815164,0.001,0.13,0
"MAPK4",0,-0.393599112716383,0.003,0.184,0
"AC060809.1",0,0.332918406699197,0.07,0.953,0
"SEMA5A",0,0.462467031948492,0.073,0.828,0
"ICAM1",0,-0.534955460661156,0.003,0.222,0
"CYP3A7",0,-0.968918953591216,0.011,0.245,0
"IGHM",0,-0.53245536346704,0.005,0.261,0
"ACSL4",0,-0.278308040633036,0.007,0.173,0
"CYP3A7-CYP3A51P",0,-0.375640441968779,0.009,0.144,0
"LRP1B",0,0.424874136017983,0.068,0.849,0
"THBS1",0,-0.489267760517856,0.006,0.197,0
"ARHGAP15",0,0.288964174961916,0.071,0.825,0
"DSCAML1",0,0.254316489873535,0.04,0.939,0
"SMAD6",0,0.372504755441835,0.061,0.924,0
"RIPOR3",0,0.278844824014789,0.042,0.897,0
"IGLC3",0,-0.280164194542153,0.01,0.2,0
"NR2F2-AS1",0,0.544035494217377,0.136,0.986,0
"AP001043.1",0,-0.632257384335847,0.01,0.255,0
"ARHGAP24",0,0.371184786681843,0.106,0.882,0
"ITGA9",0,0.398233468810173,0.087,0.874,0
"RARB",0,0.290358888931032,0.056,0.861,0
"LINC01344",0,0.7140475292198,0.121,0.893,0
"RIPOR2",0,0.282108896035293,0.038,0.767,0
"AC025580.2",0,-0.309158994929995,0.002,0.143,0
"AP000919.2",0,-0.303637599670204,0.012,0.188,0
"COL3A1",0,-0.310346259590383,0.013,0.172,0
"GK-AS1",0,-0.258330804953163,0.008,0.15,0
"LINC01554",0,0.331360612780314,0.112,0.896,0
"AC107021.1",0,-0.366559433660099,0.008,0.251,0
"NREP",0,-0.438490375001817,0.018,0.255,0
"BRIP1",0,0.303604959719506,0.049,0.973,0
"CHI3L1",0,-0.602031614479688,0.003,0.256,0
"CCL20",0,-0.503231098508375,0,0.181,0
"PURPL",0,0.435399160663825,0.069,0.986,0
"AC099329.2",0,-0.336582964019315,0.037,0.252,0
"DDIT4",0,-0.342955976902529,0.024,0.225,0
"AP002026.1",0,0.495353811912954,0.116,0.897,0
"AP005329.2",0,-0.315981265558839,0.005,0.228,0
"TAT-AS1",0,0.499943906896399,0.183,1,0
"MGAM2",0,-0.332666749815822,0.001,0.1,0
"ST18",0,0.503354780176377,0.071,0.922,0
"SLC16A10",0,0.778358491192472,0.162,0.996,0
"TXLNGY",0,0.537826531171747,0.103,1,0
"ITGB1-DT",0,-0.59280855525703,0.006,0.266,0
"NEK10",0,0.383110401356567,0.054,0.841,0
"AL162726.3",0,0.357172407688432,0.066,0.892,0
"AC022414.1",0,0.416204916308713,0.155,0.999,0
"SORCS2",0,-0.311123136952415,0.008,0.178,0
"AL353148.1",0,0.50389809633146,0.086,0.994,0
"IGLC2",0,-0.372238290721068,0.018,0.22,0
