"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.88846674173939,0.69,0.716,0,"Hepatocytes_1","AC011604.2"
0,1.8075181548298,0.803,0.728,0,"Hepatocytes_1","LINC00907"
0,1.20162659611801,0.709,0.575,0,"Hepatocytes_1","ALDH1A2"
0,1.1296342030186,0.956,0.755,0,"Hepatocytes_1","SOX5"
0,1.10447752268719,0.796,0.717,0,"Hepatocytes_1","TPRG1"
0,1.10222059980397,0.843,0.662,0,"Hepatocytes_1","GHR"
0,1.07896379718394,0.592,0.444,0,"Hepatocytes_1","SLCO1B1"
0,1.04526504442894,0.839,0.78,0,"Hepatocytes_1","ADK"
0,1.03450984791209,0.958,0.829,0,"Hepatocytes_1","RORA"
0,1.02930359626549,0.726,0.662,0,"Hepatocytes_1","ECHDC2"
0,0.967448947507154,0.874,0.733,0,"Hepatocytes_1","SORBS2"
0,0.928307495402633,0.813,0.6,0,"Hepatocytes_1","CYP3A5"
0,0.833723114353813,0.763,0.617,0,"Hepatocytes_1","TSHZ2"
0,0.315517033357536,0.235,0.713,0,"Hepatocytes_1","TXLNGY"
0,-0.287616230647108,0.072,0.511,0,"Hepatocytes_1","EHD3"
0,-0.321027809971348,0.083,0.504,0,"Hepatocytes_1","CRISPLD2"
0,-0.357982450983656,0.248,0.739,0,"Hepatocytes_1","PDK4"
0,-0.392090913970769,0.089,0.497,0,"Hepatocytes_1","NCAM1"
0,-0.400934109681233,0.083,0.469,0,"Hepatocytes_1","PDZRN3"
0,-0.440569633358319,0.094,0.475,0,"Hepatocytes_1","LINC00924"
0,-0.45250245782372,0.101,0.537,0,"Hepatocytes_1","MEF2C-AS1"
0,-0.458938783649576,0.137,0.597,0,"Hepatocytes_1","MAP2"
0,-0.482255665388412,0.251,0.718,0,"Hepatocytes_1","PBX1"
0,-0.484496304057741,0.075,0.471,0,"Hepatocytes_1","CAMK4"
0,-0.50555464829374,0.14,0.562,0,"Hepatocytes_1","PDZRN4"
0,-0.512217641686295,0.099,0.512,0,"Hepatocytes_1","ANKRD20A11P"
0,-0.547265561047235,0.214,0.676,0,"Hepatocytes_1","STOX2"
0,-0.565929495918833,0.082,0.447,0,"Hepatocytes_1","MRO"
0,-0.571732277916514,0.199,0.634,0,"Hepatocytes_1","MERTK"
0,-0.592306485106797,0.115,0.489,0,"Hepatocytes_1","CARMN"
0,-0.632629583596446,0.161,0.627,0,"Hepatocytes_1","MAPK10"
0,-0.664017571766739,0.146,0.596,0,"Hepatocytes_1","EML1"
0,-0.696170715380603,0.152,0.562,0,"Hepatocytes_1","PLCXD3"
0,-0.698366469553154,0.172,0.668,0,"Hepatocytes_1","DSCAML1"
0,-0.711649944262282,0.159,0.68,0,"Hepatocytes_1","PLA2G5"
0,-0.715295613247189,0.22,0.695,0,"Hepatocytes_1","ARHGAP24"
0,-0.725548660722202,0.133,0.592,0,"Hepatocytes_1","TOX2"
0,-0.765323308477544,0.209,0.66,0,"Hepatocytes_1","SRGAP2"
0,-0.774957247394243,0.188,0.618,0,"Hepatocytes_1","TCF7L1"
0,-0.794893859528597,0.095,0.545,0,"Hepatocytes_1","ADAMTS2"
0,-0.85798007158668,0.147,0.638,0,"Hepatocytes_1","GRAPL"
0,-0.864440638665673,0.118,0.549,0,"Hepatocytes_1","NR2F1-AS1"
0,-0.878831125250506,0.133,0.618,0,"Hepatocytes_1","AC007100.1"
0,-0.906943195270917,0.105,0.5,0,"Hepatocytes_1","LINC01197"
0,-0.924997233759066,0.187,0.663,0,"Hepatocytes_1","SMAD6"
0,-0.942006167160729,0.094,0.539,0,"Hepatocytes_1","PCDH7"
0,-0.972970519983167,0.131,0.559,0,"Hepatocytes_1","BTNL9"
0,-0.991125541094131,0.277,0.737,0,"Hepatocytes_1","PLXDC2"
0,-1.00306718612387,0.192,0.661,0,"Hepatocytes_1","ADGRB3"
0,-1.00610021269528,0.164,0.607,0,"Hepatocytes_1","SEMA6A"
0,-1.05247562743882,0.167,0.655,0,"Hepatocytes_1","RIPOR3"
0,-1.05491016123642,0.11,0.583,0,"Hepatocytes_1","CTBP2"
0,-1.09829196621186,0.162,0.603,0,"Hepatocytes_1","FYN"
0,-1.11080448248839,0.291,0.737,0,"Hepatocytes_1","ANKS1A"
0,-1.21375224565778,0.139,0.603,0,"Hepatocytes_1","IGF1R"
0,-1.2591940385413,0.261,0.783,0,"Hepatocytes_1","NR2F2-AS1"
