"sample","Gene","ID","TF","E_ID","enhancer"
"HTN","VWA1",135,"RUNX1","E_4274","Nor_E"
"HTN","VWA1",135,"RUNX1","E_25213","Nor_E"
"HTN","VWA1",135,"RUNX1","E_27479","Nor_E"
"HTN","VWA1",135,"RUNX1","E_31630","Nor_E"
"HTN","VWA1",135,"RUNX1","E_49779","Nor_E"
"HTN","VWA1",135,"RUNX1","E_53991","Nor_E"
"HTN","VWA1",135,"RUNX1","E_54011","Nor_E"
"HTN","VWA1",135,"RUNX1","E_103312","Nor_E"
"HTN","VWA1",135,"RUNX1","E_108343","Nor_E"
"HTN","VWA1",135,"RUNX1","E_111708","Nor_E"
"HTN","VWA1",135,"RUNX1","E_124029","Nor_E"
"HTN","VWA1",135,"RUNX1","E_125381","Nor_E"
"HTN","VWA1",135,"RUNX1","E_135200","Nor_E"
"HTN","VWA1",135,"RUNX1","E_136063","Nor_E"
"HTN","VWA1",135,"RUNX1","E_145241","Nor_E"
"HTN","VWA1",135,"RUNX1","E_146300","Nor_E"
"HTN","VWA1",135,"RUNX1","E_146862","Nor_E"
"HTN","VWA1",135,"RUNX1","E_147918","Nor_E"
"HTN","VWA1",135,"RUNX1","E_441","HTN_E"
"HTN","VWA1",135,"RUNX1","E_653","HTN_E"
"HTN","VWA1",135,"RUNX1","E_760","HTN_E"
"HTN","VWA1",135,"RUNX1","E_840","HTN_E"
"HTN","VWA1",135,"RUNX1","E_1092","HTN_E"
"HTN","VWA1",135,"RUNX1","E_1108","HTN_E"
"HTN","VWA1",135,"RUNX1","E_1110","HTN_E"
"HTN","VWA1",135,"RUNX1","E_1114","HTN_E"
"HTN","VWA1",135,"RUNX1","E_1341","HTN_E"
"HTN","VWA1",135,"RUNX1","E_1407","HTN_E"
"HTN","VWA1",135,"RUNX1","E_1870","HTN_E"
"HTN","VWA1",135,"RUNX1","E_1875","HTN_E"
"HTN","VWA1",135,"RUNX1","E_2005","HTN_E"
"HTN","VWA1",135,"RUNX1","E_2007","HTN_E"
"HTN","VWA1",135,"RUNX1","E_2010","HTN_E"
"HTN","VWA1",135,"RUNX1","E_2011","HTN_E"
"HTN","VWA1",135,"RUNX1","E_2273","HTN_E"
"HTN","VWA1",135,"RUNX1","E_2290","HTN_E"
"HTN","VWA1",135,"RUNX1","E_2684","HTN_E"
"HTN","VWA1",135,"RUNX1","E_2816","HTN_E"
"HTN","VWA1",135,"RUNX1","E_2952","HTN_E"
"HTN","VWA1",135,"RUNX1","E_3002","HTN_E"
"HTN","VWA1",135,"RUNX1","E_4219","HTN_E"
"HTN","VWA1",135,"RUNX1","E_4308","HTN_E"
"HTN","VWA1",135,"RUNX1","E_5208","HTN_E"
"HTN","VWA1",135,"RUNX1","E_5806","HTN_E"
"HTN","VWA1",135,"RUNX1","E_5851","HTN_E"
"HTN","VWA1",135,"RUNX1","E_6086","HTN_E"
"HTN","VWA1",135,"RUNX1","E_6087","HTN_E"
"HTN","VWA1",135,"RUNX1","E_6222","HTN_E"
"HTN","VWA1",135,"RUNX1","E_10625","HTN_E"
"HTN","VWA1",135,"RUNX1","E_11227","HTN_E"
"HTN","VWA1",135,"RUNX1","E_11365","HTN_E"
